ID	Type	JName	EName	Value
1188.ID	deed	輸送車の権利書	truck	0
1187.ID	deed	大型馬車の権利書	carriage	0
1186.ID	-	《世界制服》	<Clothworld>	0
1185.ID	-	《破竹魔甲冑》	<Bamagicar>	0
1184.ID	-	《レイヴンブランド》	<Ravenbrand>	0
1183.ID	-	《バンブニール》	<Bambnir>	0
1182.ID	-	《劫波の針》	<Kalpa Hand>	0
1181.ID	-	煙玉	kemuridama	0
1180.ID	-	ヤカポイントカード	YacaPoint card	0
1179.ID	-	水草	aquatic plant	0
1178.ID	-	宝石珊瑚	jewel coral	0
1177.ID	-	チンアナゴ	spotted garden eel 	0
1176.ID	mysterious ore	赤竜石	dragon's red	0
1175.ID	-	木人	<moku-jin>	0
1174.ID	-	作物管理セット	crop management tools	0
1173.ID	scroll	ウィッチクラフトの巻物	witchcraft	0
1172.ID	-	冷吸の勾玉	magaice	0
1171.ID	-	《エビフライト》	<Fright Prawn>	0
1170.ID	-	《ライトセーバーっぽい杏仁豆腐》	<ANNINDOFU LIKE A LIGHTSABRE>	0
1169.ID	-	《カニカマ》	<Kani-kama>	0
1168.ID	-	《伍連華草》	<Go-Renge>	0
1167.ID	-	《エペクレイル》	<Epeclair>	0
1166.ID	-	《轟天》	<Gouten>	0
1165.ID	-	《DGT-101》	<DGT-101>	0
1164.ID	-	《ヌメニウス》	<Numenius>	0
1163.ID	-	《炎獄曼荼羅》	<Engoku>	0
1162.ID	-	《三烈棍》	<Power Triangle>	0
1161.ID	-	《電磁炎弩》	<Cross Rail>	0
1160.ID	-	《ナズナの靴下》	<Nazuna's Sox>	0
1159.ID	-	《スコル・ピアス》	<Scorpierce>	0
1158.ID	-	《黄泉戸欠片》	<Yomi-to>	0
1157.ID	-	《リンカルス》	<Rinkhals>	0
1156.ID	-	《小人の魔法弓》	<Ling's Bow>	0
1155.ID	-	浄化消毒薬	disinfectant	0
1154.ID	-	苦無	kunai	0
1153.ID	-	細剣	fleure	0
1152.ID	-	螺旋機	drill	0
1151.ID	-	騎士槍	lance	0
1150.ID	-	投斧	tomahawk	0
1149.ID	-	鎖鋸	chain saw	0
1148.ID	-	鋏鎌	scissors	0
1147.ID	-	骨鎌	bone scythe	0
1146.ID	-	戦槌	war hammer	0
1145.ID	-	星球槌	star hammer	0
1144.ID	-	錫杖	shakujo	0
1143.ID	-	節棍	nunchaku	0
1142.ID	-	斬弓	blade bow	0
1141.ID	-	炎弩	crossfire	0
1140.ID	-	双銃	gun pair	0
1139.ID	-	小枝	twig	0
1138.ID	-	フェーン	fane	0
1137.ID	-	チクリー	chicory	0
1136.ID	-	抗体結晶	cure crystal	0
1135.ID	-	姿勢制御アンカー	fixity anchor	0
1134.ID	deed	物件移設の申請書	property transfer	0
1133.ID	-	ボムタル	bomb barrel	0
1132.ID	-	コーラ	cola	0
1131.ID	-	麦茶	barley tea	0
1130.ID	-	魔神の欠片	devil fragment	0
1129.ID	-	ガムの残骸	chewed-up gum	0
1128.ID	-	ガム	chewing gum	0
1127.ID	-	磁器人形	bisque doll	0
1126.ID	-	装飾陶器	decorative pottery	0
1125.ID	-	古代の焼き物	ancient pottery	0
1124.ID	-	謎の化石	mysterious fossil	0
1123.ID	-	粘土	clay	0
1122.ID	-	硫黄	sulfur	0
1121.ID	-	執事の日記	butler's diary	0
1120.ID	-	アラートドキシン	encounter canceller	0
1119.ID	-	《次元間力観測実験報告書》	Observation report	0
1118.ID	-	地獄絵図(荷車)	eruption painting	0
1117.ID	-	ウサギの足(荷車)	rabbit foot	0
1116.ID	-	撒き餌	ground bait	0
1115.ID	-	ジョロジョロ	urine	0
1114.ID	-	生体バッテリー	bio battery	0
1113.ID	-	如意耳掻棒	nyoi mimikaki	0
1112.ID	-	《魔術式拘束服》	<Magic Restraint>	0
1111.ID	-	《ダブルヘリックス》	<Rasen>	0
1110.ID	-	《グラヴィテール》	<Gravitail>	0
1109.ID	-	ハンバーガー	hamburger	0
1108.ID	-	おしるこ	osiruko	0
1107.ID	-	お雑煮	ozouni	0
1106.ID	-	クリスマスケーキセット	christmas cake set	0
1105.ID	-	謎の茶封筒	mysterious envelope	0
1104.ID	-	干物	dried fish	0
1103.ID	-	干し野菜	dried vegetable	0
1102.ID	-	ドライフルーツ	dried fruit	0
1101.ID	-	《ビートルパワーボーグ》	<Beetle Cyborg>	0
1100.ID	-	ダウジングオパートス	dowsing opatos	0
1099.ID	-	くみろみぐるみ	kumiromi-gurumi	0
1098.ID	-	ルルウィの写真集	Lulwy's photo collection	0
1097.ID	-	ヤカテクト預金箱	yacatect's bank	0
1096.ID	-	イツパロトルの胸像	itzpalt's sculpture	0
1095.ID	-	絵画《エヘカトルとメカジキ》	painting of ehekatl and swordfish	0
1094.ID	-	めざマニ時計	mani's alarm clock	0
1093.ID	-	スキルチケット	skill ticket	0
1092.ID	-	《神々の枷鎖》	<God Binder>	0
1091.ID	-	鋭のハイマテリウム	sharp high materium	0
1090.ID	-	鋭のマテリウム	sharp materium	0
1089.ID	-	剛のハイマテリウム	hard high materium	0
1088.ID	-	剛のマテリウム	hard materium	0
1087.ID	-	柔のハイマテリウム	soft high materium	0
1086.ID	-	柔のマテリウム	soft materium	0
1085.ID	-	1200万納税書	12 million tax certificate	0
1084.ID	-	120万納税書	1.2 million tax certificate	0
1083.ID	-	《腹切丸》	<Harakiri>	0
1082.ID	-	油揚げ	fried tofu	0
1081.ID	-	納豆	natto	0
1080.ID	-	とうふ	tofu	0
1079.ID	-	大豆	soybean	0
1078.ID	high potion	賢皇薬	wisdom	0
1077.ID	potion	宝石絢爛のポーション	gem	0
1076.ID	spellbook	守護石の魔法書	gem	0
1075.ID	-	《黄金剣舞翼》	<Assault Gold>	0
1074.ID	-	チーズ	cheese	0
1073.ID	-	バター	butter	0
1072.ID	-	ヨーグルト	yogurt	0
1071.ID	-	家畜の餌	livestock feed	0
1070.ID	-	緑茶	green tea	0
1069.ID	-	紅茶	black tea	0
1068.ID	yellow gem stone	黄昏の心臓	Heart of Twilight	0
1067.ID	-	《クラウンポイント》	<Crown Point>	0
1066.ID	-	スターダスト	stardust	0
1065.ID	-	素敵な花束	lovely bouquet	0
1064.ID	-	退芭符	ohuda	0
1063.ID	-	《ヨワリ・テスカトル》	<Yohualli Tezcatl>	0
1062.ID	-	バイオプリンター	bio printer	0
1061.ID	-		wild flower	0
1060.ID	-	名工のリペアキット	craft repair kit	0
1059.ID	-	プレゼント	present	0
1058.ID	-	《グリエルゼン》	<Guliwelzen>	0
1057.ID	-	茶葉	tea leaf	0
1056.ID	-	コーヒー豆	coffee beans	0
1055.ID	-	稲	rice	0
1054.ID	-	万能ムギ	bannou mugi	0
1053.ID	bottle	醤油	soy sauce	0
1052.ID	bottle	コショウ	pepper	0
1051.ID	-	連装花火ランチャー	hanabi	0
1050.ID	-	ビジャーキー	b-jerky	0
1049.ID	-	《邪成鎌ネクロマンティス》	<Necromantis>	0
1048.ID	-	吸い殻	suigara	0
1047.ID	-	キセル	kiseru	0
1046.ID	-	パイプ	tobacco pipe	0
1045.ID	-	葉巻	hamaki	0
1044.ID	-	紙巻タバコ	cigarette	0
1043.ID	-	タバコ	tobacco	0
1042.ID	-	《ズガイクライ》	<Zugaikurai>	0
1041.ID	-	ブロンズ硬貨	bronze coin	0
1040.ID	-	不思議の国のキノコスープ	soup of wonderland	0
1039.ID	-	《髑髏三日月》	<Dokuro-Mikaduki>	0
1038.ID	-	《ヘルティアーレ》	<Heltiarre>	0
1037.ID	-	エレメントアイズ	Elements Eyes	0
1036.ID	-	揮発油	gasoline	0
1035.ID	-	精油	essential oil	0
1034.ID	-	《鎖惨渦》	<Sasanqua Sickle>	0
1033.ID	spellbook	ハイドロボルトの魔法書	water beam	0
1032.ID	rod	泡沫の波動の杖	bubble ball	0
1031.ID	-	アトミックランチャー	atomic launcher	0
1030.ID	-	M202スペシャル	M202 special	0
1029.ID	-	パンツァーファウストＸ	panzerfaust X	0
1028.ID	-	快眠ブランケット	pleasant sleep blanket	0
1027.ID	rod	マジックレーザーの杖	magic laser	0
1026.ID	rod	猛毒の波動の杖	poison ball	0
1025.ID	-	《イェーキュブ・スフィア》	<Amulet of Yekub>	0
1024.ID	-	《研究員の閻魔帳》	researcher's diary	0
1023.ID	-	ファーストエイド	first aid kit	0
1022.ID	-	特殊矢弾箱	special ammo box	0
1021.ID	-	コマンドタクト	Taktstock	0
1020.ID	-	《流星群のセスタス》	<Cestus of Meteors>	0
1019.ID	-	ヘヴィダンベル	<Dumbbell of Opatos>	0
1018.ID	-	健康のお守り	<Amulet of Jure>	0
1017.ID	-	媚赤蝋燭	<Candle of Lulwy>	0
1016.ID	-	特殊信号拳銃	<Very pistol of Mani>	0
1015.ID	-	レッドアンダーリム	<Glasses of Yacatect>	0
1014.ID	-	古霜の栞	<Bookmark of Itzpalt>	0
1013.ID	-	おさかなマグカップ	<Mug of Ehekatl>	0
1012.ID	-	輪廻鋏	<Scissors of Kumiromi>	0
1011.ID	-	魔女の練り菓子	kneaded sweets of witch	0
1010.ID	-	《ブラッドロッド》	<Blood Rod>	0
1009.ID	-	爆発する原子力の死んだライオン	NUCLEAR DEAD LION	0
1008.ID	-	暴魔の大剣	violent skull sword	0
1007.ID	-	《GARMS-2》	<Mighty Arms>	0
1006.ID	-	《ウィーテハウク》	<The White Hawk>	0
1005.ID	-			0
1004.ID	-	ジュースミキサー	juice mixer	0
1003.ID	-	アルファ変異殻	alpha shift core	0
1002.ID	-	ベータ変異殻	beta shift core	0
1001.ID	-	ガンマ変異殻	gamma shift core	0
1000.ID	-	デルタ変異殻	delta shift core	0
999.ID	-	オメガ変異殻	omega shift core	0
998.ID	-	《ソニックブルーム》	<Sonic Broom>	0
997.ID	-	《鬼のパンツ》	<Pants of Ogre>	0
996.ID	-	《イオンチャクラム》	<Ion Chakram>	0
995.ID	-	《スパディール》	<Spadille>	0
994.ID	-	四次元ミラー	4-Dimensional mirror	0
993.ID	-	空の大型バスケット	large empty basket	0
992.ID	-	大型ピクニックバスケット	large picnic basket	0
991.ID	-	異界墓地の鍵	DD cemetery key	0
990.ID	-	不思議な秘宝	wonder body former	0
989.ID	-	トリス・マギストス	trismagistus	0
988.ID	-	マギスト	magistus	0
987.ID	-	暴れる魔剣	skull sword	0
986.ID	-	《HL-KRSW》	<HL-KRSW>	0
985.ID	-	《ラッキーアーモンド》	<Lucky Almonds>	0
984.ID	-	デュエルグローブ	duel glove	0
983.ID	-	《ブラッディ・ティアーズ》	<Bloody Tears>	0
982.ID	-	眠り羊の夢枕	sleep sheep	0
981.ID	-	《ウサミミ》	<Usamimi>	0
980.ID	-	インサイトレンズ	insight lens	0
979.ID	-	かぼちゃランタン	jack lantern	0
978.ID	spellbook	集中の魔法書	concentration	0
977.ID	potion	翼鳥のポーション	feather	0
976.ID	potion	集中力向上のポーション	concentration	0
975.ID	-	《アルジェントスノウ》	<Argent Snow>	0
974.ID	-	《アイヴィ・スパイン》	<Ivy Spine>	0
973.ID	-	マグナム弾	magnum	0
972.ID	-	被水の勾玉	magaqua	0
971.ID	-	九神の印	nine god sign	0
970.ID	jewel	神雫石	tear of god	0
969.ID	jewel	ネフィアティア	core of nefia	0
968.ID	-	マインドディスク	mind disc	0
967.ID	-	E,G,G	E.G.G	0
966.ID	statue	天使の像	angel statue	0
965.ID	-	ミニチュアゴーレム	small stone golem	0
964.ID	-	地蔵	zizou	0
963.ID	statue	仏像	butuzou	0
962.ID	-	ミニチュアゴーレム	small wooden golem	0
961.ID	-	ペットハウス	pethouse	0
960.ID	-	石材	stone material	0
959.ID	-	《メロディウス》	<Melodyus>	0
958.ID	-	《グランデイル》	<Grandel>	0
957.ID	-	《スンバラリアヘッド》	<Sunbararia Helm>	0
956.ID	-	鞭	whip	0
955.ID	-	ソックス	sox	0
954.ID	-	鎖鎌	chainsickle	0
953.ID	-	弩砲	ballista	0
952.ID	-	特製深海弁当	abyss lunch	0
951.ID	-	《N97対戦艦自動砲》	<N97 Cannon>	0
950.ID	-	《トリシューラ》	<Trishula>	0
949.ID	-	《大太刀鳳閃火》	<Housenka>	0
948.ID	-	《音切爪》	<Otogiri>	0
947.ID	-	ジュークボックス	Juke box	0
946.ID	-	四つ葉のクローバー	four-leaf clover	0
945.ID	-	ロミアス	romias	0
944.ID	-	柿	kaki	0
943.ID	-	黄金どんぐり	gold acorn	0
942.ID	-	どんぐり	acorn	0
941.ID	-	火吸の勾玉	magatama	0
940.ID	-	《アステロイドベルト》	<Asteroid Belt>	0
939.ID	-	大岩	rock	0
938.ID	-	鉤爪	claw	0
937.ID	-	連弩	repeating bow	0
936.ID	-	材木	wood material	0
935.ID	-	常世桜	sakura tree	0
934.ID	-			0
933.ID	-	麻薬煙管	drug kiseru	0
932.ID	-	クラムベリー	crimberry	0
931.ID	black gem stone	覚醒の宝玉	Wake up of nefia	0
930.ID	red spindle	リンカネイト	soul spindle	0
929.ID	-	オカリナ	ocarina	0
928.ID	-	リコーダー	recorder	0
927.ID	-	セルパン	serpent	0
926.ID	jewel	ルビナス	brilliant rubynus	0
925.ID	tablet	エメラルド・タブレット	emerald	0
924.ID	jewel	ダイヤモンド	brilliant diamond	0
923.ID	-	《ガルバグナウ》	<Gur Bagh Nakh>	0
922.ID	-	《ネイベル・ネクス》	<Astral Sickle>	0
921.ID	-	大型ブラシ	big brush	0
920.ID	-	有機肥料	organic fertilizer	0
919.ID	-	ナス	eggplant	0
918.ID	-	コーン	corn	0
917.ID	-	ポテト	potato	0
916.ID	-	パイン	pineapple	0
915.ID	-	梨	apple pear	0
914.ID	-	バナナ	banana	0
913.ID	-	メロン	muskmelon	0
912.ID	-	スイカ	watermelon	0
911.ID	bottle	永久防腐剤	antiseptic	0
910.ID	-	ミニチュア魔導船	miniature blimp	0
909.ID	deed	廃モンスター牧場の権利書	discarded ranch	0
908.ID	-	《常闇の杖》	<Vice Staff>	0
907.ID	-	チョコレート手作りキット	handmade chocolate kit	0
906.ID	-	栗	chestnut	0
905.ID	-	《危険な水着》	<Danger Swimwear>	0
904.ID	-	《ウォースーツ》	<War Suit>	0
903.ID	-	闇の棺	coffin of necromancy	0
902.ID	-	たらばがに	coconut crab	0
901.ID	rod	雷光の波動の杖	lightning ball	0
900.ID	-	アストラル光筆	astral light pen	0
899.ID	-	《グラビトンアクス》	<Gravity Axe>	0
898.ID	-	《ドレイクロッド》	<Drake Rod>	0
897.ID	deed	引越しの権利書	home relocation	0
896.ID	-	誰かの日記	mysterious diary	0
895.ID	-	《ST-01 サクリファイス》	<Sacrifice Tonfa>	0
894.ID	-	マンドラサラダ	mandrake salad	0
893.ID	-	《ST-05 ソニック》	<Sonic Tonfa>	0
892.ID	-	《ST-02 シールド》	<Shield Tonfa>	0
891.ID	-	《イーグル＆レオン》	<Griffon>	0
890.ID	-	マシンルアー	<Super Lure>	0
889.ID	-	手作りチョコ	handmade chocolate	0
888.ID	-	《ムーンライトセーバー》	<Moonlight>	0
887.ID	rod	月蝕の波動の杖	eclipse	0
886.ID	-	魔よけの人形	<Cleaning Doll>	0
885.ID	high potion	ソーマ	soma	0
884.ID	high potion	ネクタル	nektar	0
883.ID	high potion	大災薬	disaster	0
882.ID	high potion	サンクティオ	aqua sanctio	0
881.ID	-	《AA-12アドバンス》	<AA-12 Advance>	0
880.ID	-	《斬り札》	<Slash Joker>	0
879.ID	-	《アルアビス》	<Mag-Abyss>	0
878.ID	-	かきこむ名刺	Blank Business Card	0
877.ID	-	賢者の石仮面	Philosopher's Stone Mask	0
876.ID	-	犬笛	<Dog Whistle>	0
875.ID	-	《七光の大弓》	<Rainbow>	0
874.ID	-	《フラッシュボウガン》	<Flash Crossbow>	0
873.ID	-	阿形の狛犬	koma-inu	0
872.ID	-	吽形の狛犬	koma-inu	0
871.ID	-	《ST-04 セイバー》	<Saber Tonfa>	0
870.ID	spellbook	フェザーの魔法書	feather	0
869.ID	-			0
868.ID	-	《スパイラルカオス》	<Unicorn Drill>	0
867.ID	-	イス焼き	yith-yaki	0
866.ID	-	《ノヴァ・グレネード》	<Nova Grenade>	0
865.ID	-	コマンドフラッグ	command flag	0
864.ID	-	三角木馬	wooden horse	0
863.ID	-	《フレイムザンバー》	<Flame Edge>	0
862.ID	-	《ゴルネ・ツィーベル》	<Zwiebel>	0
861.ID	-	《シールド・シールド》	<Sealed Shield>	0
860.ID	-	《躰蝕の魔杖》	<Vital Flayer>	0
859.ID	statue	イツパロトル像	Itzpalt	0
858.ID	statue	ヤカテクト像	Yacatect	0
857.ID	-	エフェクト・スキャナー	effect scanner	0
856.ID	-	巨大マリモ(荷車)	marimo	0
855.ID	-	観賞用レーション(荷車)	ration	0
854.ID	-	《釘ストラディバリウス》	<Nail Stradivarius>	0
853.ID	-	狂人の日記	Insane book	0
852.ID	-	禁断の肉塊	forbidden meat	0
851.ID	-	《菊十文字》	<Gerbera Cross>	0
850.ID	-	《ST-03 スマッシュ》	<Smash Tonfa>	0
849.ID	-	逆玉手弁当	age return lunch	0
848.ID	-	玉手弁当	aging lunch	0
847.ID	bottle	スピードリンク	speed upper	0
846.ID	-	《ナイトメア》	<Nightmare>	0
845.ID	-	和太鼓	wadaiko	0
844.ID	-	かき氷	shaved ice	0
843.ID	-	マジカルアイス	magic ice	0
842.ID	-	ブラックドリップ	black drip	0
841.ID	-	ランプラント	lamp plant	0
840.ID	-	カオスジュエル	chaos jewel	0
839.ID	-	エーテルの鏡	ether mirror	0
838.ID	-	イカロスの翼	ikaros wing	0
837.ID	-	トロール細胞	troll cell	0
836.ID	-	殺人ＣＤ	murder CD	0
835.ID	-	火鉢	hibachi	0
834.ID	-	蓄電池	accumulator	0
833.ID	-	グリア結晶	glia crystal	0
832.ID	-	クズ竜	waste art	0
831.ID	-	《神を殺せる本》	<Buster Book>	0
830.ID	-	《ライ》	<Stone Coin>	0
829.ID	-	《魔断の指輪》	<Magic Canceler>	0
828.ID	-	《金色の鎖》	<Aureate Constricter>	0
827.ID	-	《精霊手甲》	<Blue Spirit>	0
826.ID	-	《妖刀黒鳥兜》	<Black Monkshood>	0
825.ID	-	ギャラメﾞル	caramel of termination	0
824.ID	-	《不殺の刺又》	<Sasumata>	0
823.ID	-	《機械拘束具》	<Mechanical Binder>	0
822.ID	-	《神緑の茨》	<Green God Thorn>	0
821.ID	-	《大地の足枷》	<Fetter of Earth>	0
820.ID	-	《運命の輪》	<Wheel of Fortune>	0
819.ID	-	《暴風の首輪》	<Tempest Choker>	0
818.ID	Mani's gem stone	マニの切り札の宝玉	satellite shooter	0
817.ID	-	狙撃銃	sniper rifle	0
816.ID	-	《ベーラヤ・スメルチ》	<Valkoinen Kuolema>	0
815.ID	-	砂のお城	sand castle	0
814.ID	-	《メタルヴェスダの機械翼》	<Metal Wing of Vesda>	0
813.ID	-	《リボルケイン》	<Solar Cane>	0
812.ID	-	おにぎり	rice ball	0
811.ID	-	姉の秘密の日記	dog sister's diary	0
810.ID	-	《ストームブリンガー》	<Stormbringer>	0
809.ID	-	姉の日記	older sister's diary	0
808.ID	-	《カインドネス》	<Kindness Blade>	0
807.ID	-	《ドレッドノート》	<Dreadnought>	0
806.ID	-	《G3-EXA》	<G3-EXA>	0
805.ID	-	《神壊の大戦斧》	<God Breaker>	0
804.ID	-	《ギガモールの骨鎌》	<Beast Sickle>	0
803.ID	-	《英雄のマント》	<Hero's Cloak>	0
802.ID	-	《カストル＆ポルックス》	<Gemini>	0
801.ID	-	《落椿》	<Oti-Tubaki>	0
800.ID	-	《特殊防護スーツ》	<Awesome Swimwear>	0
799.ID	-	ヴェルニースオリジナル	<Vernis Original>	0
798.ID	-	《轟海刀》	<Dynamic Saber>	0
797.ID	Yacatect's gem stone	ヤカテクトの小遣銭の宝玉	god medal	0
796.ID	-	《寛永通宝》	<Kaneituuhou>	0
795.ID	-	《GAU-17ミニガン改》	<GAU-17 Custom>	0
794.ID	-	《ネガティブエッヂ》	<Negative Edge>	0
793.ID	-	《パイルバンカー帯電式Y型》	<Pile Driver>	0
792.ID	-	プチトロ	putitoro	0
791.ID	-	《ドラゴン殺し》	<Dragon Slayer>	0
790.ID	-	《賢者の錬金釜》	pot of alchemist	0
789.ID	-	合成の壺	pot for fusion	0
788.ID	-	骨弓	skull bow	0
787.ID	-	ふかふかパン	puff puff bread	0
786.ID	sack	砂糖	sugar	0
785.ID	bottle	塩	salt	0
784.ID	-	カードパック	card pack	0
783.ID	-	レシピ	recipe	0
782.ID	-	皿	large dish	0
781.ID	-	包丁	kitchen knife	0
780.ID	-	毛皮の敷物	fur carpet	0
779.ID	-	鹿の剥製	deer head	0
778.ID	-	高級ソファー	luxury sofa	0
777.ID	statue	マニ像	Mani	0
776.ID	statue	クミロミ像	Kumiromi	0
775.ID	-	特製肉まんじゅう	special steamed meat bun	0
774.ID	-	高級キャビネット	luxury cabinet	0
773.ID	-	おっきな本棚	large bookshelf	0
772.ID	-	トマト	tomato	0
771.ID	-	ブルーカプセルドラッグ	blue capsule drag	0
770.ID	bottle	ラムネ	soda	0
769.ID	-	ミニチュアツリー	miniature tree	0
768.ID	-	正月飾り	new year's decoration	0
767.ID	-	ジュアの抱き枕	Jure's body pillow	0
766.ID	-	青い屋根の屋台	blue stall	0
765.ID	-	赤い屋根の屋台	red stall	0
764.ID	-	カウンター	counter	0
763.ID	-	台座	pedestal	0
762.ID	-	聖夜祭の花冠	festival wreath	0
761.ID	-	《グールドのピアノ》	<Gould's Piano>	0
760.ID	-	ガロクの槌	Garok's hammer	0
759.ID	-	ライトセーバー	lightsabre	0
758.ID	-	《マウザーC96カスタム》	<Mauser C96 Custom>	0
757.ID	-	《五本角の兜》	<Five Horned Helm>	0
756.ID	-	もち	mochi	0
755.ID	-	鏡もち	kagami mochi	0
754.ID	-	だるま	daruma	0
753.ID	-	こたつ	kotatsu	0
752.ID	-	お年玉	new year's gift	0
751.ID	-	降り階段	downstairs	0
750.ID	-	昇り階段	upstairs	0
749.ID	statue	創造主の像	Creator	0
748.ID	-	召喚石	summoning crystal	0
747.ID	book	ボコノンの書	Bokonon	0
746.ID	-	調教鞭	tamer's whip	0
745.ID	objet	こころ	heart	0
744.ID	catbox	シュレディンガーの猫	Schrodinger's Cat	0
743.ID	plank	《カルネアデスの板》	Carneades	0
742.ID	license	すくつ探索許可証	the void explorer	0
741.ID	-	《飛竜刀》	<Hiryu-To>	0
740.ID	-	《謎の貝》	<Unknown Shell>	0
739.ID	-	《フリージアの尻尾》	<Frisia's Tail>	0
738.ID	-	フォーチュンクッキー	fortune cookie	0
737.ID	scroll	名前の巻物	name	0
736.ID	-	耐熱コーティング液	fireproof liquid	0
735.ID	-	大鎌	scythe	0
734.ID	-	小さな宝くじ箱	small gamble chest	0
733.ID	-	サンドバッグ	sand bag	0
732.ID	spellbook	収穫の魔法書	harvest	0
731.ID	spellbook	四次元ポケットの魔法書	4 dimensional pocket	0
730.ID	token	友情の証	friendship	0
729.ID	-	おみやげ	gift	0
728.ID	-	《紅凛》	<Crimson Plate>	0
727.ID	-	《棘の盾》	<Shield of Thorns>	0
726.ID	-	《アル・ウード》	<Al'ud>	0
725.ID	-	《キルキルピアノ》	<Kill Kill Piano>	0
724.ID	-	音楽チケット	music ticket	0
723.ID	-	《ツインエッジ》	<Twin Edge>	0
722.ID	-	《アルバレスト》	<Arbalest>	0
721.ID	statue	エヘカトル像	Ehekatl	0
720.ID	-	幸せのベッド	happy bed	0
719.ID	-	《クレイモア》	<Claymore>	0
718.ID	-	《シーナのパンティー》	<Shena's Panty>	0
717.ID	secret experience	ロミアスの秘密の経験	Lomias	0
716.ID	-	《バニラロック》	<Vanilla Rock>	0
715.ID	secret experience	クミロミの秘密の経験	Kumiromi	0
714.ID	-	手榴弾	grenade	0
713.ID	-	手裏剣	shuriken	0
712.ID	deed	ダンジョンの権利書	dungeon	0
711.ID	potion	進化のポーション	evolution	0
710.ID	spellbook	契約の魔法書	contingency	0
709.ID	scroll	契約の巻物	contingency	0
708.ID	book	復活の書	resurrection	0
707.ID	-	《ストラディバリウス》	<Stradivarius>	0
706.ID	potion	下落のポーション	descent	0
705.ID	-	《乞食のペンダント》	<Beggar's Pendant>	0
704.ID	-	ゲロゲロ	vomit	0
703.ID	-	ホイッスル	whistle	0
702.ID	-	うさぎのしっぽ	rabbit's tail	0
701.ID	-	デッキ	deck	0
700.ID	-	タウンブック	town book	0
699.ID	-	リトル捕獲玉	little ball	0
698.ID	potion	食塩水	salt solution	0
697.ID	spellbook	魔力の集積の魔法書	magic laser	0
696.ID	spellbook	魔力の嵐の魔法書	magic ball	0
695.ID	-	《破壊の斧》	<Axe of Destruction>	0
694.ID	-	間仕切り	eastern partition	0
693.ID	-	ハープ	harp	0
692.ID	-	ハーモニカ	harmonica	0
691.ID	-	リュート	lute	0
690.ID	-	パンフルート	pan flute	0
689.ID	-	ギロチン	guillotine	0
688.ID	-	アイアンメイデン	iron maiden	0
687.ID	-	古書物	ancient book	0
686.ID	statue	ジュア像	Jure	0
685.ID	-	モンスターボール	monster ball	0
684.ID	-	能力複合機	gene machine	0
683.ID	energy crystal	再構成マトリクス	matrix	0
682.ID	Kumiromi's gem stone	クミロミの活性化の宝玉	rejuvenation	0
681.ID	Jure's gem stone	ジュアの聖なる雨の宝玉	holy rain	0
680.ID	Lulwy's gem stone	ルルウィの神速の宝玉	god speed	0
679.ID	-	《大地の大槌》	<Gaia Hammer>	0
678.ID	-	《ラッキーダガー》	<Lucky Dagger>	0
677.ID	-	《ホーリーランス》	<Holy Lance>	0
676.ID	-	《エレメンタルスタッフ》	<Elemental Staff>	0
675.ID	-	《クミロミサイズ》	<Kumiromi Scythe>	0
674.ID	-	《ウィンチェスター・プレミアム》	<Winchester Premium>	0
